file,genre,label
..\augmented_dataset\classical\classical_1308.npy,classical,1
..\augmented_dataset\metal\metal_1697.npy,metal,6
..\augmented_dataset\blues\blues_1368.npy,blues,0
..\augmented_dataset\rock\rock_0976.npy,rock,9
..\augmented_dataset\pop\pop_1996.npy,pop,7
..\augmented_dataset\metal\metal_0284.npy,metal,6
..\augmented_dataset\pop\pop_0703.npy,pop,7
..\augmented_dataset\blues\blues_1424.npy,blues,0
..\augmented_dataset\country\country_1681.npy,country,2
..\augmented_dataset\metal\metal_1036.npy,metal,6
..\augmented_dataset\country\country_1524.npy,country,2
..\augmented_dataset\classical\classical_0758.npy,classical,1
..\augmented_dataset\pop\pop_0684.npy,pop,7
..\augmented_dataset\classical\classical_0124.npy,classical,1
..\augmented_dataset\classical\classical_0631.npy,classical,1
..\augmented_dataset\blues\blues_0828.npy,blues,0
..\augmented_dataset\rock\rock_0492.npy,rock,9
..\augmented_dataset\reggae\reggae_1301.npy,reggae,8
..\augmented_dataset\jazz\jazz_1618.npy,jazz,5
..\augmented_dataset\metal\metal_0659.npy,metal,6
..\augmented_dataset\jazz\jazz_1781.npy,jazz,5
..\augmented_dataset\pop\pop_1146.npy,pop,7
..\augmented_dataset\reggae\reggae_1110.npy,reggae,8
..\augmented_dataset\hiphop\hiphop_1183.npy,hiphop,4
..\augmented_dataset\hiphop\hiphop_1495.npy,hiphop,4
..\augmented_dataset\rock\rock_0790.npy,rock,9
..\augmented_dataset\metal\metal_0062.npy,metal,6
..\augmented_dataset\rock\rock_0738.npy,rock,9
..\augmented_dataset\rock\rock_1533.npy,rock,9
..\augmented_dataset\hiphop\hiphop_0850.npy,hiphop,4
..\augmented_dataset\disco\disco_0973.npy,disco,3
..\augmented_dataset\blues\blues_0635.npy,blues,0
..\augmented_dataset\disco\disco_0896.npy,disco,3
..\augmented_dataset\blues\blues_1205.npy,blues,0
..\augmented_dataset\classical\classical_0326.npy,classical,1
..\augmented_dataset\pop\pop_1073.npy,pop,7
..\augmented_dataset\reggae\reggae_0318.npy,reggae,8
..\augmented_dataset\jazz\jazz_1150.npy,jazz,5
..\augmented_dataset\classical\classical_0400.npy,classical,1
..\augmented_dataset\rock\rock_0080.npy,rock,9
..\augmented_dataset\pop\pop_0579.npy,pop,7
..\augmented_dataset\classical\classical_1943.npy,classical,1
..\augmented_dataset\disco\disco_0449.npy,disco,3
..\augmented_dataset\metal\metal_1958.npy,metal,6
..\augmented_dataset\country\country_1251.npy,country,2
..\augmented_dataset\reggae\reggae_1395.npy,reggae,8
..\augmented_dataset\hiphop\hiphop_0212.npy,hiphop,4
..\augmented_dataset\hiphop\hiphop_0634.npy,hiphop,4
..\augmented_dataset\disco\disco_0706.npy,disco,3
..\augmented_dataset\hiphop\hiphop_0004.npy,hiphop,4
..\augmented_dataset\classical\classical_1296.npy,classical,1
..\augmented_dataset\reggae\reggae_0972.npy,reggae,8
..\augmented_dataset\reggae\reggae_0417.npy,reggae,8
..\augmented_dataset\hiphop\hiphop_0381.npy,hiphop,4
..\augmented_dataset\jazz\jazz_1184.npy,jazz,5
..\augmented_dataset\jazz\jazz_1689.npy,jazz,5
..\augmented_dataset\country\country_0297.npy,country,2
..\augmented_dataset\country\country_0197.npy,country,2
..\augmented_dataset\classical\classical_0823.npy,classical,1
..\augmented_dataset\jazz\jazz_0893.npy,jazz,5
..\augmented_dataset\rock\rock_0191.npy,rock,9
..\augmented_dataset\hiphop\hiphop_0239.npy,hiphop,4
..\augmented_dataset\hiphop\hiphop_0336.npy,hiphop,4
..\augmented_dataset\jazz\jazz_0761.npy,jazz,5
..\augmented_dataset\blues\blues_1987.npy,blues,0
..\augmented_dataset\jazz\jazz_0184.npy,jazz,5
..\augmented_dataset\blues\blues_1624.npy,blues,0
..\augmented_dataset\jazz\jazz_0866.npy,jazz,5
..\augmented_dataset\country\country_0344.npy,country,2
..\augmented_dataset\classical\classical_0044.npy,classical,1
..\augmented_dataset\jazz\jazz_0539.npy,jazz,5
..\augmented_dataset\metal\metal_0174.npy,metal,6
..\augmented_dataset\metal\metal_1310.npy,metal,6
..\augmented_dataset\jazz\jazz_1410.npy,jazz,5
..\augmented_dataset\classical\classical_0014.npy,classical,1
..\augmented_dataset\reggae\reggae_0526.npy,reggae,8
..\augmented_dataset\rock\rock_1297.npy,rock,9
..\augmented_dataset\reggae\reggae_1081.npy,reggae,8
..\augmented_dataset\rock\rock_1012.npy,rock,9
